courseId,termCode,termName,associatedAcademicCareer,associatedAcademicGroupCode,associatedAcademicOrgCode,subjectCode,catalogNumber,title,descriptionAbbreviated,description,gradingBasis,courseComponentCode,enrollConsentCode,enrollConsentDescription,dropConsentCode,dropConsentDescription,requirementsDescription
3294,1215,Spring 2021,UG,MAT,STATACTSC,ACTSC,232,Life Contingencies 1,Life Contingencies 1,"The future lifetime random variable: probability and survival functions; force of mortality; complete and curtate expectation of life; Makeham and Gompertz mortality laws. Life tables: characteristics of population and insurance life tables;  selection; fractional age assumptions. Life insurance payments and annuity payments: present value random variables; expected present values; higher moments; actuarial notation. Annual, 1/mthly and continuous cases. Relationships between insurance and annuity functions. Premiums: expense loadings. Present value of future loss random variables and distribution, net and gross cases. Equivalence principle. Portfolio percentile principle. Extra risks. [Note: Students who have met the ELPE requirement must contact their ACTSC advisor. Offered: F,W,S]",NUM,LEC,N,No Consent Required,N,No Consent Required,Prereq: (At least 60% in ACTSC 231) and (STAT 230 or 240) and (at least 60% in MTHEL 131). Not open to students who received credit for ACTSC 331.
13390,1215,Spring 2021,GRD,MAT,STATACTSC,ACTSC,612,Life Insurance Mathematics I,Life Insurance Mathematics I,Models for future lifetime; insurance and annuity functions; life tables and their use; future loss random variable for a contract; calculations of premiums and reserves; standard international actuarial notation.,NUM,LEC,D,No Consent Required,N,No Consent Required,
3308,1215,Spring 2021,UG,MAT,STATACTSC,ACTSC,453,Basic Pension Mathematics,Basic Pension Mathematics,"Theory and practice of pension plan funding. Assumptions, basic actuarial functions, and population theory applied to private pensions. Concepts of normal costs, supplemental liability, unfunded liability arising from individual accrued benefit, and projected benefit cost methods.",NUM,LEC,N,No Consent Required,N,No Consent Required,Prereq: ACTSC 331; Actuarial Science or Mathematical Finance students only
78,1215,Spring 2021,GRD,MAT,STATACTSC,ACTSC,855,Life Contingencies 3,Life Contingencies 3,"Profit testing for traditional and non-traditional life insurance. Pricing and valuation of embedded options in life insurance products. Defined benefit and defined contribution pension plan design. Theory and practice of unit credit methods for pension plan funding and valuation for final average salary, career average earnings, and career average revalued earnings pension plans; post-retirement health benefits.",NUM,LEC,N,No Consent Required,N,No Consent Required,
13389,1215,Spring 2021,GRD,MAT,STATACTSC,ACTSC,611,Financial Mathematics I,Financial Mathematics I,Time value of money; simple and compound interest and discount; real returns; equations of value; loan schedules; valuation of fixed coupon bonds; valuation of real return bonds; term structure of interest rates; no arbitrage pricing; valuation of forward contracts; valuation of interest rate swaps. Duration and Immunization,NUM,LEC,D,No Consent Required,N,No Consent Required,
13396,1215,Spring 2021,GRD,MAT,STATACTSC,ACTSC,623,Applied Statistics,Applied Statistics,Generalized linear models: multiple linear regression and normal linear model; exponential family; link functions; linear predicators; estimation; testing. Time series: Univariate ARIMA; multivariate AR; ARCH and other non-linear models.,NUM,LEC,D,No Consent Required,N,No Consent Required,Master of Actuarial Science Students only
13399,1215,Spring 2021,GRD,MAT,STATACTSC,ACTSC,631,Financial Mathematics III,Financial Mathematics III,"Binomial and lattice models for option pricing. Black-Scholes option pricing. Hedging option greeks. Exotic options. Term structure models including Vasicek, Cox-Ingersoll-Ross, Hull-White, Black-Derman-Toy. Interest rate options.",NUM,LEC,D,No Consent Required,N,No Consent Required,Master of Actuarial Science Students only
16161,1215,Spring 2021,UG,MAT,STATACTSC,ACTSC,431,Casualty and Health Insurance Mathematics 2,Casualty & Hlth Insur Math 2,"Advanced models for loss frequency: (a, b, 1) class, mixed and compound Poisson models; concept of infinite divisibility; advanced models for loss severity: combination of exponentials, mixed Erlang, extreme value distributions; measure of distribution tails; impact of policy adjustments on loss frequency and severity; estimation; advanced aggregate claims models: properties, analytic results, (double) recursion, and pricing; risk measures. Other topics which may be covered include aggregate claim models with dependence, time-dependent claims, and ruin theory. [Offered: F,S]",NUM,LEC,N,No Consent Required,N,No Consent Required,"Prereq: ACTSC 363 with a grade of at least 60%, STAT 330; Actuarial Science or Mathematical Finance students only"
14535,1215,Spring 2021,UG,MAT,STATACTSC,ACTSC,469,Readings in Actuarial Science 2,Readings in ACTSC 2,Reading course as announced by the department.,NUM,RDG,N,No Consent Required,N,No Consent Required,Prereq: Actuarial Science or Mathematical Finance students only
3305,1215,Spring 2021,UG,MAT,STATACTSC,ACTSC,446,Mathematics of Financial Markets,Math of Financial Markets,"This course covers mathematical techniques for no-arbitrage pricing and hedging financial derivatives. Topics to be covered can be classified into three broad areas: derivatives markets (options; forwards and futures; other derivatives; put-call parity), discrete-time financial models (binomial models; general multi-period models; Fundamental Theorems of Asset Pricing; risk-neutral probability), and continuous-time financial models (basic stochastic calculus and Itô's lemma; Black-Scholes model; interest rate models and bond pricing). [Offered: F,W]",NUM,LEC,N,No Consent Required,N,No Consent Required,"Prereq: (AFM 372/ACTSC 391 or (ACTSC 231&371) or (ACTSC 231&BUS 393W)), (STAT 333 or 334); ACTSC, Math/FARM, Math Fin, STAT students only. Antireq: AFM 322, BUS 423W, ECON 372, MATBUS 470"
12044,1215,Spring 2021,UG,MAT,STATACTSC,ACTSC,372,Corporate Finance,Corporate Finance,"Capital budgeting. Real options. Investment decision using Markowitz and utility theory. Capital asset pricing model. Arbitrage pricing theory. Market efficiency. Capital structure and dividend policy. Advanced topics. [Offered: F,W,S]",NUM,LEC,N,No Consent Required,N,No Consent Required,"Prereq: ACTSC 371 and (MATH 207 or 237 or 247) Antireq: AFM 272/ACTSC 291, AFM 273, 274, AFM 372/ACTSC 391, BUS 393W, ECON 371"
3293,1215,Spring 2021,UG,MAT,STATACTSC,ACTSC,231,Introductory Financial Mathematics,Intro Financial Mathematics,"The theory of rates of interest and discount including the theoretical continuous case of forces of interest and discount. Annuities and sinking funds, including the continuous case. Practical and theoretical applications primarily to mortgages and bonds. Yield rates. [Offered: F,W,S]",NUM,LEC,N,No Consent Required,N,No Consent Required,Prereq: MATH 137 or 147 and (STAT 220 with a grade of at least 70% or a corequisite of STAT 230 or 240); Level at least 2A; Not open to students who have received credit for ACTSC 232. Antireq: ACTSC 221
13402,1215,Spring 2021,GRD,MAT,STATACTSC,ACTSC,634,Quantitative Risk Management,Quantitative Risk Management,"This course combines enterprise and quantitative risk management to provide a comprehensive coverage of risk management science with applications in finance, insurance and corporate governance. Topics covered include: risk taxonomy; risk measures; extreme value theory; copulas; stress and scenario testing; interest rate risk management, credit risk management; regulation, including Basel, Basel 3 and Solvency 2; risk adjusted return; capital allocation.",NUM,LEC,D,No Consent Required,N,No Consent Required,Master of Actuarial Science Students only
11274,1215,Spring 2021,GRD,MAT,STATACTSC,ACTSC,963,Insurance Surplus Mathematics,Insurance Surplus Mathematics,"The analysis of the development over time of the surplus on a portfolio of insurance business is considered.  The classical Poisson and Sparre Andersen risk models are studied.  Unified treatment of moments and distributions of quantities related to the event of ruin is done through a discounted penalty function approach.  Random variables of interest include the time of ruin itself, the deficit immediately after ruin occurs, and the surplus immediately prior to ruin.  Defective renewal equations and Laplace transforms are utilized extensively.  Prerequisites are familiarity with aggregate loss models at the level of ActSc 431/831 or equivalent.",NUM,LEC,N,No Consent Required,N,No Consent Required,
44,1215,Spring 2021,GRD,MAT,STATACTSC,ACTSC,970,Finance 1,Finance 1,"The course introduces options and other derivative securities in different asset classes. The main focus is on methods of pricing in a multi-period setting, but continuous-time models are also discussed. Topics may include no-arbitrage pricing theory, the fundamental theory of asset pricing, complete and incomplete markets,and pricing of complex financial instruments.",NUM,LEC,N,No Consent Required,N,No Consent Required,
16363,1215,Spring 2021,GRD,MAT,STATACTSC,ACTSC,854,Longevity and Mortality Using Predictive Analytics,Mortality Pred Analytics,Kaplan-Meier and Nelson-Aalen estimators for survival functions. Kernel density models. Validation of mortality tables. Estimators for Markov multiple state transition intensities. Longevity models including deterministic and stochastic models such as Lee-Carter and Cairns-Blake-Dowd.,NUM,LEC,N,No Consent Required,N,No Consent Required,
16131,1215,Spring 2021,GRD,MAT,STATACTSC,ACTSC,870,Short Course in Actuarial Science,Short Course in Actuarial Sci,,NUM,LEC,N,No Consent Required,N,No Consent Required,
11751,1215,Spring 2021,UG,MAT,STATACTSC,ACTSC,391,Corporate Finance 2,Corporate Finance 2,This course is a continuation of AFM 272/ACTSC 291. Topics to be explored are covered under the listing for AFM 272/ACTSC 291.,NUM,LEC,N,No Consent Required,N,No Consent Required,"Prereq: AFM 272/ACTSC 291; Computing and Financial Management, Mathematics/Chartered Professional Accountancy students. Antireq: AFM 274, ACTSC 372, ECON 371"
11275,1215,Spring 2021,GRD,MAT,STATACTSC,ACTSC,964,Topics in Quantitative Risk Management,Topics in Quant Risk Mngmt,"Fundamental concepts in quantitative risk management. Topics typically include: risk measures, extreme value theory, multivariate distributions and copulas. This course has a focus on mathematical and statistical techniques. Other topics may be covered at the discretion of the instructor.",NUM,LEC,N,No Consent Required,N,No Consent Required,
46,1215,Spring 2021,GRD,MAT,STATACTSC,ACTSC,972,Finance 3,Finance 3,"The course will cover selected and advanced topics in quantitative finance and risk management, with a particular focus on current developments. Topics may include robust and Bayesian portfolio optimization, limits to arbitrage, derivatives pricing under model uncertainty, credit risk models, and models of systematic risk.",NUM,LEC,N,No Consent Required,N,No Consent Required,
13391,1215,Spring 2021,GRD,MAT,STATACTSC,ACTSC,613,Statistics for Actuarial Science,Statistics for Actuarial Sci,"Discrete and continuous random variables; generating functions; dependence; maximum likelihood estimation, functions of random variables; confidence intervals, hypothesis tests; Bayesian estimation, simple linear regression.",NUM,LEC,D,No Consent Required,N,No Consent Required,
14063,1215,Spring 2021,GRD,MAT,STATACTSC,ACTSC,974,Financial Econometrics,Financial Econometrics,"The focus of this course is on the statistical modelling, estimation and inference and forecasting of nonlinear financial time series, with a special emphasis on volatility and correlation of asset prices and returns.  Topics to be covered normally include: review on distribution and dynamic behaviour of financial time series, univariate and multivariate GARCH processes, long-memory time-series processes, stochastic volatility models, modelling of extreme values, copulas, realized volatility and correlation modelling for ultra high frequency data and continuous time models.",NUM,LEC,N,No Consent Required,N,No Consent Required,
13401,1215,Spring 2021,GRD,MAT,STATACTSC,ACTSC,633,Actuarial Risk Management,Actuarial Risk Management,"This course considers actuarial risk management in the context of practical applications in life and non-life insurance, and in pensions. Topics covered include the role of the actuary; methods for pricing and reserving in life and non-life insurance; regulatory capital; risk transfer through reinsurance or securitization; product development; model risk and governance; pension risk management; embedded options in life insurance.",NUM,LEC,D,No Consent Required,N,No Consent Required,Master of Actuarial Science Students only
9455,1215,Spring 2021,GRD,MAT,STATACTSC,ACTSC,690,Literature & Research Studies,Literature & Research Studies,,NUM,RDG,I,No Consent Required,N,No Consent Required,
82,1215,Spring 2021,GRD,MAT,STATACTSC,ACTSC,961,Mathematical Methods of Loss Reserving,Loss Reserving,"Macro methods of runoff analysis: chain-ladder, least squares, separation, payment per claim incurred. Stochastic methods: Reid's method, see-saw, payment per unit of risk, autoregressive models, Kalman filter.",NUM,LEC,N,No Consent Required,N,No Consent Required,
13395,1215,Spring 2021,GRD,MAT,STATACTSC,ACTSC,622,Life Insurance Mathematics II,Life Insurance Mathematics II,"Multiple state models; premiums and reserves for stat dependent policies, including joint life and last survivor benefits; cashflow projection methods; post retirement benefits: valuation and funding. Estimation and inference for survival models. Introduction to longevity models.",NUM,LEC,D,No Consent Required,N,No Consent Required,Master of Actuarial Science Students only
11270,1215,Spring 2021,GRD,MAT,STATACTSC,ACTSC,846,Mathematics of Financial Markets,Math of Financial Markets,"This course covers mathematical techniques for no-arbitrage pricing and hedging financial derivatives. Topics to be covered can be classified into three broad ares: derivatives markets (options; forwards and futures; other derivatives; put-call parity), discrete-time financial models (binomial models; general multi-period models; fundamental theorems of asset pricing; risk-neutral probability), and continuous-time financial models (basic stochastic calculus and Ito's lemma; Black-Scholes model; interest rate models and bond pricing).",NUM,LEC,N,No Consent Required,N,No Consent Required,Antireq: ACTSC 446
11750,1215,Spring 2021,UG,MAT,STATACTSC,ACTSC,291,Corporate Finance 1,Corporate Finance1,"This is the first in a two-course sequence that deals with corporate financial decision-making. Topics may include time value of money, capital budgeting, cost of capital, security issuance, capital structure, payout policy and dividends, short term finance, and risk management. Where suitable, topics are treated from a mathematical and quantitative perspective.",NUM,LEC,N,No Consent Required,N,No Consent Required,"Prereq: MATH 136 or 146, 138 or 148; Accounting & Financial Management, Computing & Financial Management, Mathematics/ CPA or Science Biotechnology/Chartered Accountancy students. Coreq: STAT 231 or 241. Antireq: AFM 273, ACTSC 371, ECON 371"
3299,1215,Spring 2021,UG,MAT,STATACTSC,ACTSC,463,Introduction to Property and Casualty Loss Reserving,Prop & Casualty Loss Reserving,An introduction to property/casualty loss reserving techniques. Claim payment process. Chain-ladder methods. Stochastic models.,NUM,LEC,N,No Consent Required,N,No Consent Required,"Prereq: ACTSC 363, (STAT 331 or 371 or 373); Actuarial Science or Mathematical Finance students only"
13403,1215,Spring 2021,GRD,MAT,STATACTSC,ACTSC,635,Profession Communications in Actuarial Science,Communications in ActSc,"Elements of writing. Written project on an advanced topic, with a communications focus. Presentations: preparation and delivery.",NUM,LEC,D,No Consent Required,N,No Consent Required,Master of Actuarial Science Students only
14534,1215,Spring 2021,UG,MAT,STATACTSC,ACTSC,468,Readings in Actuarial Science 1,Readings in ACTSC 1,Reading course as announced by the department.,NUM,RDG,N,No Consent Required,N,No Consent Required,Prereq: Actuarial Science or Mathematical Finance students only
13392,1215,Spring 2021,GRD,MAT,STATACTSC,ACTSC,614,Corporate Finance and Accounting,Corporate Finance and Account,"Principles of financial accounting; construction and analysis of accounts. Sustainability reporting. Financial planning; capital budgeting, assessment of capital projects; long term financing; short term finance and planning",NUM,LEC,D,No Consent Required,N,No Consent Required,
11622,1215,Spring 2021,GRD,MAT,STATACTSC,ACTSC,973,Portfolio Optimization,Portfolio Optimization,"Basic optimization: quadratic minimization subject to leanear equality constraints. Effecient portfolios: the efficient frontier, the capital market line, Sharpe ratios and threshold returns. Practical portfolio optimization: short sales restrictions target portfolios, transactions costs. Quadratic programming theory. Special purpose quadratic programming algorithms for portfolio optimization: today's large investment firms expect to solve problems with at least 1000 assets, transactions costs and various side constraints in just a few minutes of computation time. This requires very specialized QP algorithms. An overview of such algorithms will be presented with computational results from commercial problems. The efficient frontier, the capital market line, Sharpe ratios and threshold returns in practice.",NUM,LEC,N,No Consent Required,N,No Consent Required,
3301,1215,Spring 2021,UG,MAT,STATACTSC,ACTSC,432,Property and Casualty Insurance: Pricing,Property & Cas Insur: Pricing,"Introduction to ratemaking; rating factors; insurance pricing using generalized linear models; experience rating; credibility theory: Bayesian, Buhlmann, and Buhlmann-Straub; empirical Bayes parameter estimation. [Offered: F,S]",NUM,LEC,N,No Consent Required,N,No Consent Required,"Prereq: ACTSC 363, STAT 330, (one of STAT 331, 371, 373); Actuarial Science or Mathematical Finance students only"
13393,1215,Spring 2021,GRD,MAT,STATACTSC,ACTSC,615,Economics,Economics,"Micro: Supply and demand; utility theory and risk aversion; production choices; competition; Macro: Fiscal and monetary policy; exchange rates; factors affecting inflation, unemployment, exchange rates and economic growth; introductory game theory; introduction to insurance economics.",NUM,LEC,D,No Consent Required,N,No Consent Required,
9492,1215,Spring 2021,UG,MAT,STATACTSC,ACTSC,445,Quantitative Enterprise Risk Management,Quan  Enterprise Risk Mgt,"This course introduces enterprise risk management, with a focus on quantitative analysis and economic capital. Risk classification is first discussed with an emphasis on the types of risk most suited to quantitative methods. Risk measures, such as Value-at-Risk (VaR) and Conditional Tail Expectation (CTE or TVaR), are then introduced and their use by firms and regulators to determine risk capital requirements is further highlighted. Different approaches are considered for developing loss distributions, including frequency/severity analysis and extreme value theory. Copulas and economic scenario generators are used to aggregate dependent risks. Different strategies for mitigating or transferring risk are reviewed. Additional topics that may be covered include credit risk, capital allocation, and regulation of financial institutions. [Offered: F,S]",NUM,LEC,N,No Consent Required,N,No Consent Required,"Prereq: (AFM 372/ACTSC 391or(ACTSC 231, 371)or(ACTSC 231, BUS 393W)),((STAT 330,333) or STAT 334); ACTSC, Math/FARM, Math Fin students only. Antireq: AFM 422, MATBUS 472, BUS 433W, BUS 439W"
45,1215,Spring 2021,GRD,MAT,STATACTSC,ACTSC,971,Finance 2,Finance 2,"The course discusses methods and tools for modeling of financial derivatives in the continuous-time setting. Both theory and practical applications are discussed. The first part covers methods of pricing and hedging of derivatives under different assumptions about the dynamics of the underlying economic factors. Topics normally include currency derivatives, American and exotic options, futures contracts, stochastic volatility models and mean-variance hedging. The second part deals with modeling and pricing of interest-rate products. Topics may include short interest rate models, the Heath-Jarrow-Morton Framework, and Libor and swap market models.",NUM,LEC,N,No Consent Required,N,No Consent Required,
11760,1215,Spring 2021,UG,MAT,STATACTSC,ACTSC,471,Advanced Corporate Finance,Advanced Corporate Finance,"This course covers various advanced topics in corporate finance, with emphasis on theories of corporate incentives and asymmetric information. Illustrative applications using cases are provided.",NUM,LEC,N,No Consent Required,N,No Consent Required,"Prereq: AFM 372/ACTSC 391 or ACTSC 372; Comp & Financial Management, Actuarial Science, Math/CPA, Math/Financial Analysis & Risk Mgmt Chartered Financial Analyst, or Mathematical Finance. Antireq: AFM 373"
3300,1215,Spring 2021,UG,MAT,STATACTSC,ACTSC,363,Casualty and Health Insurance Mathematics 1,Casualty & Hlth Insuran Math 1,"Models for loss frequency: Poisson, negative binomial, binomial, (a, b, 0) class; models for loss severity including exponential, gamma, lognormal, Pareto, and Weibull; impact of policy adjustments on loss frequency and severity; estimation; compound Poisson models; aggregate claims models: properties, recursion, simulation, and pricing; deterministic reserving methods: chain ladder and Bornhuetter Ferguson; introduction to reinsurance. [Offered: F,W]",NUM,LEC,N,No Consent Required,N,No Consent Required,Prereq: Actuarial Science or Mathematical Finance students only. Coreq: STAT 330. Antireq: ACTSC 431 (taken in or before spring 2020).
13397,1215,Spring 2021,GRD,MAT,STATACTSC,ACTSC,624,Stochastic Processes for Actuarial Science,Stoch Proc. for Act Sc.,Counting processes; Markov processes and Kolmogorov equations; Brownian motion and geometric Brownian motion; Ito's lemma Monte Carlo simulation.,NUM,LEC,D,No Consent Required,N,No Consent Required,Master of Actuarial Science Students only
15699,1215,Spring 2021,GRD,MAT,STATACTSC,ACTSC,895,Communications in Actuarial Science,Communications in ActSc,"This course is designed to develop students' oral and written communication skills, using examples from actuarial risk management.  It includes elements of writing, and also reading and summarizing leading edge work in actuarial theory and practice.  Presentations and collaborative work are used to develop essential communication skills in both academic and professional contexts.",NUM,LEC,D,No Consent Required,N,No Consent Required,
85,1215,Spring 2021,GRD,MAT,STATACTSC,ACTSC,991,Topics in Actuarial Science,Topics in Actuarial Science,,NUM,LEC,I,No Consent Required,N,No Consent Required,
13398,1215,Spring 2021,GRD,MAT,STATACTSC,ACTSC,625,Casualty and Health Insurance Mathematics,Casualty and Health Ins. Math,"Frequency and severity models; compound distributions, calculation of moments and probabilities using recursion; Bayesian estimation and credibility; claims reserving for non-life insurance using run-off triangle methods, introductory ruin theory.",NUM,LEC,D,No Consent Required,N,No Consent Required,Master of Actuarial Science Students only
3295,1215,Spring 2021,UG,MAT,STATACTSC,ACTSC,331,Life Contingencies 2,Life Contingencies 2,"Policy Values: Annual, 1/mthly, and continuous cases. Thiele's equation. Modified premium policy values. Multiple state models: applications in life contingencies; assumptions; Kolmogorov equations; premiums, policy values, multiple decrement models. Joint life models: valuation of insurance benefits on joint lives, dependent and independent cases. [Note: Some of the material covered in STAT 333 reinforces some of the concepts covered in this course. Therefore students might find it beneficial to take STAT 333 and ACTSC 331 at the same time. Offered: F,W,S]",NUM,LEC,N,No Consent Required,N,No Consent Required,Prereq: ACTSC 232 with a grade of at least 60%; Actuarial Science students only
13400,1215,Spring 2021,GRD,MAT,STATACTSC,ACTSC,632,Data Science with Actuarial Applications,Data Science Actuarial Appl,"This course provides a comprehensive treatment of various techniques from statistics, predictive analytics and machine learning that can be used to analyze data sets relevant for actuarial applications. Specific topics covered include: modeling principles and practice, analysis and estimation of survival models, insurance pricing using generalized linear models, classification and tree-based methods.",NUM,LEC,D,No Consent Required,N,No Consent Required,Master of Actuarial Science Students only
3290,1215,Spring 2021,UG,MAT,STATACTSC,ACTSC,221,Introductory Financial Mathematics (Non-Specialist Level),Intro Fin Math(Non-Specialist),"The theory of rates of interest and discount; annuities and sinking funds with practical applications to mortgage and bond questions. Yield rates. [Offered: F,W,S]",NUM,LEC,N,No Consent Required,N,No Consent Required,Prereq: Level at least 2A; Not open to Actuarial Science students. Antireq: ACTSC 231; (For Mathematics students only - CIVE 292/392)
11438,1215,Spring 2021,UG,MAT,STATACTSC,ACTSC,371,Introduction to Investments,Intro to Investments,"Introduction to capital markets. Analysis of equity and fixed income investments. Introduction to derivative securities including futures, forwards, swaps, and options. [Offered: F,W,S]",NUM,LEC,N,No Consent Required,N,No Consent Required,Coreq: STAT 231 or 241
15667,1215,Spring 2021,UG,MAT,STATACTSC,ACTSC,489,Advanced Topics in Actuarial Science,Adv Topics in Actsc,Advanced topics course as announced by the department. Topics and term offerings will vary.,NUM,LEC,D,No Consent Required,N,No Consent Required,Prereq: Level at least 3B; Actuarial Science or Mathematical Finance students only.
3302,1215,Spring 2021,UG,MAT,STATACTSC,ACTSC,454,Longevity and Mortality using Predictive Analytics,Longevity & Mortality using PA,"Kaplan-Meier and Nelson-Aalen estimators for survival functions. Kernel density models. Validation of mortality tables. Estimators for Markov multiple state transition intensities. Longevity models, including deterministic and stochastic models such as Lee-Carter and Cairns-Blake-Dowd. [Offered: W]",NUM,LEC,N,No Consent Required,N,No Consent Required,"Prereq: ACTSC 331, STAT 330; Actuarial Science or Mathematical Finance students only"
13318,1215,Spring 2021,UG,MAT,STATACTSC,ACTSC,455,Life Contingencies 3,Life Contingencies 3,"Profit testing for traditional and non-traditional life insurance. Pricing and valuation of embedded options in life insurance products. Defined benefit and defined contribution pension plan design. Theory and practice of unit credit methods for pension plan funding and valuation for final average salary, career average earnings, and career average revalued earnings pension plans; post-retirement health benefits.",NUM,LEC,N,No Consent Required,N,No Consent Required,Prereq: ACTSC 331 with a grade of at least 60%; Actuarial Science or Mathematical Finance students only. Coreq: ACTSC 446
15988,1215,Spring 2021,GRD,MAT,STATACTSC,ACTSC,900,PhD Research Skills,PhD Research Skills,"This course acts as a capstone on the coursework based part of the PhD program and as a stepping stone to the PhD proposal and to research. It is aimed at developing research skills: critically reading published research, summarizing and synthesizing areas of research, writing and orally presenting summaries of research problems, data sets and theoretical and applied results. The course is designed to be integrative across core areas of the student discipline.",NUM,LEC,D,No Consent Required,N,No Consent Required,
10064,1215,Spring 2021,GRD,MAT,STATACTSC,ACTSC,845,Quantitative Enterprise Risk Management,Quant Enterprise Risk Mngmt,"This course introduces enterprise risk management, with a focus on quantitative analysis and economic capital. Risk classification is first discussed with an emphasis on the types of risk most suited to quantitative methods. Risk measures, such as Value-at-Risk (VaR) and Conditional Tail Expectation (CTE or TVaR), are then introduced, and their use by firms and regulators to determine risk capital requirements is further highlighted. Different approaches are considered for developing loss distributions, including frequency/severity analysis and extreme value theory. Copulas and economic scenario generators are used to aggregate dependent risks.  Different strategies for mitigating or transferring risk are reviewed. Additional topics that may be covered include credit risk, capital allocation and regulation of financial institutions.",NUM,LEC,N,No Consent Required,N,No Consent Required,Antireq: ACSTC 445
15701,1215,Spring 2021,GRD,MAT,STATACTSC,ACTSC,962,Insurance Risk Models,Insurance Risk Models,"This course presents advanced mathematical and computational tools useful to study loss frequency and severity models, and also aggregate claims models.  Analytic and recursive evaluation of compound distributions are discussed, as well as generalized linear models for frequency and severity models.  Other topics covered include pricing and insurance risk processes.",NUM,LEC,N,No Consent Required,N,No Consent Required,
93,1215,Spring 2021,GRD,MAT,STATACTSC,ACTSC,992,Seminar in Actuarial Science,Seminar in Actuarial Science,,NUM,SEM,I,No Consent Required,N,No Consent Required,
11276,1215,Spring 2021,GRD,MAT,STATACTSC,ACTSC,965,Extreme Value Theory,Extreme Value Theory,"Ruin Theory for heavy-tailed distributions. Fluctuation of maxima and upper order statistics. Extreme value distributions: Weibull, Frechet, Gumbel and generalized Pareto. Mean excess function. Statistical methods for external events. Estimation of parameters of extreme value and excess distributions. Applications in finance and insurance.",NUM,LEC,N,No Consent Required,N,No Consent Required,
11686,1215,Spring 2021,GRD,MAT,STATACTSC,ACTSC,966,Aggregate Claims Models,Aggregate Claims Models,"Mixed Poisson and nonhomogeneous birth processes for claim counts; analytic, recursive, asymptotic and approximate evaluation of compound distributions for aggregate claims; reliability concepts and analysis of stop-loss moments; applications for inflation, incurred but not reported claims, and infinite server queues.  Prerequisites are familiarity with aggregate loss models at the level of ActSc 431/831 or equivalent.",NUM,LEC,N,No Consent Required,N,No Consent Required,
13406,1215,Spring 2021,GRD,MAT,STATACTSC,ACTSC,621,Financial Mathematics II,Financial Mathematics II,"Mean-Variance portfolio theory; utility based portfolio theory; Capital-Asset Pricing Method, Arbitrage Pricing Theory, Efficient Markets Hypotheses; Capital structure and dividend policy; introduction to options with applications in corporate finance. Behavioural finance.",NUM,LEC,D,No Consent Required,N,No Consent Required,Master of Actuarial Science Students only
15321,1215,Spring 2021,UG,ENG,CIVE,AE,104,Mechanics 1,Mechanics 1,"Newtonian mechanics. Force systems; vectors, forces, and moments; equilibrium and free body diagrams. Mechanics of simple structures. [Offered: F]",NUM,LEC,N,No Consent Required,N,No Consent Required,"Prereq: 1A Architectural, Civil, Environmental, or Geological Engineering. Antireq: CIVE 104, PHYS 115"
15322,1215,Spring 2021,UG,ENG,CIVE,AE,105,Mechanics 2,Mechanics 2,"Distributed forces, centroids, and moment of inertia. Introduction to foundations and fluid statics. Basic structural analysis. Plane trusses. Beam diagrams. Stress-strain-temperature relationships. Behaviour of members in tension, compression, and bending. Thin-walled pressure vessels. Friction. [Offered: S]",NUM,LEC,N,No Consent Required,N,No Consent Required,"Prereq: AE 104; Level at least 1B Architectural, Civil, Environmental, or Geological Engineering. Antireq: CIVE 105"
15323,1215,Spring 2021,UG,ENG,CIVE,AE,115,Linear Algebra,Linear Algebra,"Linear systems of equations, matrices, and determinants. Introduction to the eigenvalue problem. Applications. [Offered: F]",NUM,LEC,N,No Consent Required,N,No Consent Required,"Prereq: 1A Architectural, Civil, Environmental, or Geological Engineering. Antireq: CIVE 115, MATH 114, 115, 125, 136, 146"
15325,1215,Spring 2021,UG,ENG,CIVE,AE,125,Architectural Graphics Studio,Architectural Graphics Studio,"Basic hand- and computer-sketching techniques, perspective, isometrics, presentation graphics, working drawings, and contract documents. Exposure to computer-based drafting, rendering, and solid modelling tools. Drawing as a design and analysis (sun shading, structural forces) tool.  [Offered: S]",NUM,LEC,N,No Consent Required,N,No Consent Required,Prereq: AE 100; Level at least 1B Architectural Engineering
15335,1215,Spring 2021,UG,ENG,CIVE,AE,280,Fluid Mechanics and Thermal Sciences,Fluid Mechanics & Thermal Sci,"An introduction to fluid mechanics and thermal sciences. Fluid properties. Fluid statics. Bernoulli equation. The momentum equation and applications. Laminar and turbulent flow. Dimensionless numbers. Closed conduit flow. Pipe network analysis. Steady flow in pipes. First and second laws of thermodynamics will be introduced, enthalpy, entropy, exergy, and forms of energy. Heat storage and transfer. [Note: Four lab sessions. Offered: W]",NUM,LEC,N,No Consent Required,N,No Consent Required,"Prereq: CIVE 105, 221; Level at least 2A Architectural or Civil Engineering. Antireq: CIVE 280, ENVE 280"
15329,1215,Spring 2021,UG,ENG,CIVE,AE,221,Advanced Calculus,Advanced Calculus,"Calculus of functions of several variables. Differentiation: partial derivatives of implicit and explicit functions, applications including optimizations. Integration: multiple integrals in various co-ordinate systems with applications; Vector calculus: vector fields, line integrals, surface integrals, and applications. Numerical integration and differentiation. [Offered: W]",NUM,LEC,N,No Consent Required,N,No Consent Required,"Prereq: MATH 118; Level at least 2A Architectural, Civil, or Geological Engineering. Antireq: CIVE 221, ENVE 221, MATH 217"
