courseId,termCode,termName,associatedAcademicCareer,associatedAcademicGroupCode,associatedAcademicOrgCode,subjectCode,catalogNumber,title,descriptionAbbreviated,description,gradingBasis,courseComponentCode,enrollConsentCode,enrollConsentDescription,dropConsentCode,dropConsentDescription,requirementsDescription
13433,1215,Spring 2021,UG,ENG,ECE,ECE,417,Image Processing,Image Processing,"This course introduces the basic theories and methodologies of digital image processing. Topics include intensity transformations for image enhancement, two-dimensional discrete Fourier transform, spatial and frequency domain linear image filtering, nonlinear image filtering, binary image processing, edge detection, image segmentation, and digital video processing basics. [Offered: S]",NUM,LEC,N,No Consent Required,N,No Consent Required,Prereq: (Level at least 4A Computer Engineering or Electrical Engineering) or (ECE 207; Level at least 4A Software Engineering). Antireq: SYDE 575
13167,1215,Spring 2021,UG,ENG,ECE,ECE,106,Electricity and Magnetism,Electricity and Magnetism,"Electrostatics; electric field, flux, Gauss's Law, potential and potential energy. Capacitors; dielectric, capacitance, electric energy storage. Resistors; charge flow, current, resistance. Magnetostatic; magnetic force, magnetic fields, Ampere's Law. Inductors; magnetic flux, inductance, magnetic materials, magnetic energy storage. Time-varying fields; Faraday's Law, mutual inductance, simple motors and generators. [Offered: W, S]",NUM,LEC,N,No Consent Required,N,No Consent Required,"Prereq: ECE 105; Level at least 1B Computer Engineering or Electrical Engineering or Software Engineering. Antireq: NE 241, PHYS 112 or 112L"
13168,1215,Spring 2021,UG,ENG,ECE,ECE,124,Digital Circuits and Systems,Digital Circuits and Systems,"Number systems and Boolean arithmetic. Boolean algebra and simplification of Boolean functions. Combinational circuits. Sequential circuits; design and implementation. Hardware description languages. Timing analysis. Implementation technologies. [Offered: W,S]",NUM,LEC,N,No Consent Required,N,No Consent Required,Prereq: Level at least 1B Computer Engineering or Electrical Engineering or Software Engineering
13169,1215,Spring 2021,UG,ENG,ECE,ECE,140,Linear Circuits,Linear Circuits,"Analysis of linear circuits. Voltage, current, resistance, capacitance, inductance, voltage source, current source, dependent sources, Ohm's Law, Kirchhoff's Laws, nodal analysis, mesh analysis, circuit transformations, operational amplifier circuits, time response, sinusoidal steady-state response. Preparing for, conducting, and reporting of laboratory experiments. Safety-orientation training, including WHMIS assessment, is included in this course. [Offered:  W, S]",NUM,LEC,N,No Consent Required,N,No Consent Required,"Prereq: Level at least 1B Computer Engineering or Electrical Engineering or Software Engineering. Antireq: GENE 123, MTE 120"
15814,1215,Spring 2021,UG,ENG,ECE,ECE,101C,Work-term Reflections,Work-term Reflections,"This course requires a two-page report where students reflect on the experience gained during the third co-op term. Students identify the requirements in their job where they were able to practice engineering, how theory learned in academic terms was applied to solve problems in the work place, and significant contributions they made during their work term. If students did not secure a co-op position, they are to reflect on how they used their time to update their skills. The report template is accessed online and is submitted online. [Note: This course is graded as CR/NCR. Offered: F,W]",CNC,PRJ,N,No Consent Required,N,No Consent Required,Prereq: Computer and Electrical Engineering students
4779,1215,Spring 2021,UG,ENG,ECE,ECE,380,Analog Control Systems,Analog Control Systems,"Introduction to control systems. Advantages of closed-loop feedback systems. The role of the system mathematical model. Block diagrams and signal flow graphs. The basic control system design problem, stability in control systems. Frequency response analysis techniques. Root-locus analysis. Elementary lead-lag compensation. [Offered: W, S]",NUM,LEC,N,Department Consent Required,D,Department Consent Required,"Prereq: (ECE 207; Level at least 3A Computer Engineering or Electrical Engineering) or (MATH 213; Level at least 3A Software Engineering). Antireq: ME 360, MTE 360, SE 380, SYDE 352"
4785,1215,Spring 2021,UG,ENG,ECE,ECE,414,Communication Systems 2,Communication Systems 2,Overview of wireless communications including standards. Characterization of mobile radio propagation channels. Signal representations. Transmission and reception techniques for wireless channels. Fundamentals of cellular communications and multiple-access schemes. [Offered: S],NUM,LEC,N,No Consent Required,N,No Consent Required,"Prereq: ECE 306, 318, Level at least 4A Computer Engineering or Electrical Engineering"
13178,1215,Spring 2021,UG,ENG,ECE,ECE,351,Compilers,Compilers,"Programming paradigms, compilation, interpretation, virtual machines. Lexical analysis, regular expressions and finite automata. Parsing, context-free grammars and push-down automata. Semantic analysis, scope and name analysis, type checking. Intermediate representations. Control flow. Data types and storage management. Code generation.  [Offered: F]",NUM,LEC,N,Department Consent Required,D,Department Consent Required,"Prereq: ECE 208, 250; Level at least 3A Computer Engineering or Electrical Engineering"
13179,1215,Spring 2021,UG,ENG,ECE,ECE,356,Database Systems,Database Systems,"Data models, file systems, database system architectures, query languages, integrity and security, database design. [Offered: F, W]",NUM,LEC,N,Department Consent Required,D,Department Consent Required,"Prereq: ECE 208, ECE 250; Level at least 3B Computer Engineering or Electrical Engineering. Antireq: CS 348/448"
13180,1215,Spring 2021,UG,ENG,ECE,ECE,358,Computer Networks,Computer Networks,"This course is a comprehensive introduction to computer networks. The focus is on the concepts, the protocols, and the fundamental design principles that have contributed to the success of the internet. Topics include history of the Internet, transmission media and technologies, switching and multiplexing, protocols and layering, wired and wireless LAN (local-area networks), congestion/flow/error control, routing, addressing, internetworking (Internet) including TCP (transmission control protocol). [Offered: F, W, S]",NUM,LEC,N,Department Consent Required,D,Department Consent Required,"Prereq: (ECE 222, 203; Level at least 3B Computer Engineering or Electrical Engineering) or (ECE 222, STAT 206; Level at least 3A Software Engineering)"
13156,1215,Spring 2021,UG,ENG,ECE,ECE,100A,Electrical and Computer Engineering Practice,ECE Practice,"Areas of research and professional practice in electrical and computer engineering, including the engineer's role in protecting public safety.  Exposure to concepts from other Engineering plans.  Support material for the academic term, co-operative education, and professional or career development. [Offered: F]",NRN,SEM,N,No Consent Required,N,No Consent Required,Prereq: Level at least 1A Computer Engineering or Electrical Engineering. Antireq: ECE 190
12055,1215,Spring 2021,GRD,ENG,ECE,ECE,6606PD,Distribution System Engineering,Distribution System Eng.,"This course deals with the essential aspects of distribution system engineering, starting with estimation of the loads on the network to the detail design of the distribution system networks.  The contents of this course are divided into three categories: Planning, design and operation.  In the planning part load forecasting, and planning strategies as well as distribution automation are discussed.  The design part includes the design of sub-transmission lines, distribution substations, and primary and secondary systems design considerations.  The operation part includes the voltage drop and power loss calculations, voltage regulation and application of capcitor to distribution systems.  Recommended Background:  Basic knowledge of power systems engineering is required, optimization techniques, statistics and electric circuits.",NUM,LEC,N,No Consent Required,N,No Consent Required,ECE Electric Power Engineering Grad Students
769,1215,Spring 2021,GRD,ENG,ECE,ECE,611,Digital Communications,Digital Communications,"Representation of bandpass signals and systems, modulation and demodulation for the additive white Gaussian noise channel, optimal demodulation for signals with random phase, noncoherent detection for binary and M-ary orthogonal signals, hard and soft decision decoding for linear codes, concatenated codes, performance of coded modulation systems, characterization of fading multipath channels, diversity techniques, performance of coded systems on fading channels, direct sequence and frequency hopped spread spectrum systems.",NUM,LEC,N,No Consent Required,N,No Consent Required,
11333,1215,Spring 2021,UG,ENG,ECE,ECE,488,Multivariable Control Systems,Multivariable Control Systems,"Review of feedback control design fundamentals; SISO controller parameterizations; the fundamental effect of MIMO interaction; introduction to state-space models in continuous and discrete time; SISO techniques for MIMO design; optimal control; model-predictive control design; state estimation; decoupling, MIMO PID control design; applications in areas such as aerospace systems. [Offered: W]",NUM,LEC,N,No Consent Required,N,No Consent Required,Prereq:(ECE 380;Level at least 4A Comp or Elect Eng)or(SE 380;Level at least 4A Software Eng)or(MTE 360;Level at least 4A Mechatronics Eng)or(ME 360;Level at least 4A Mech Eng/Mechtr Opt)or(SYDE 352;Level at least 4A Sys Design Eng)
15815,1215,Spring 2021,UG,ENG,ECE,ECE,101D,Work-term Reflections,Work-term Reflections,"This course requires a two-page report where students reflect on the experience gained during the fourth co-op term. Students identify the requirements in their job where they were able to practice engineering, how theory learned in academic terms was applied to solve problems in the work place, and significant contributions they made during their work term. If students did not secure a co-op position, they are to reflect on how they used their time to update their skills. The report template is accessed online and is submitted online. [Note: This course is graded as CR/NCR. Offered: F,S]",CNC,PRJ,N,No Consent Required,N,No Consent Required,Prereq: Computer and Electrical Engineering students
9236,1215,Spring 2021,UG,ENG,ECE,ECE,301,Information Session,Information Session,"Scheduled, non-credit session to provide information to electrical and computer engineering students. [Offered: W, S]",NON,SEM,N,Department Consent Required,D,Department Consent Required,Prereq: Level at least 3A Computer Engineering or Electrical Engineering
9237,1215,Spring 2021,UG,ENG,ECE,ECE,302,Information Session,Information Session,"Scheduled, non-credit session to provide information to electrical and computer engineering students. [Offered: F, W]",NON,SEM,N,Department Consent Required,D,Department Consent Required,Prereq: Level at least 3B Computer Engineering or Electrical Engineering
15812,1215,Spring 2021,UG,ENG,ECE,ECE,101A,Work-term Reflections,Work-term Reflections,"This course requires a two-page report where students reflect on the experience gained during the first co-op term. Students identify the requirements in their job where they were able to practice engineering, how theory learned in academic terms was applied to solve problems in the work place, and significant contributions they made during their work term. If students did not secure a co-op position, they are to reflect on how they used their time to update their skills. The report template is accessed online and is submitted online. [Note: This course is graded as CR/NCR. Offered: F,S]",CNC,PRJ,N,No Consent Required,N,No Consent Required,Prereq: Computer and Electrical Engineering students
15628,1215,Spring 2021,UG,ENG,ECE,ECE,192,Engineering Economics and Impact on Society,Eng Economics Impact Society,"This course teaches engineering economics and the impact of engineering on the society at large. Important concepts of engineering economics including cash flow diagrams, present worth, quantification of impact costs, and rate of return analysis are presented. This course discusses real-life engineering cases that cover the above aspects, and provide a broad perspective on the issues. Energy supply scenarios and the environment, global energy use and supply, and environmental impacts of engineering projects are discussed. [Offered W, S]",NUM,LEC,N,Department Consent Required,D,Department Consent Required,Prereq: Level at least 1B Computer or Electrical Engineering
14597,1215,Spring 2021,GRD,ENG,ECE,ECE,754,Software Bug Detection and Tolerance,Bug Detection and Tolerance,"This course discusses a broad range of techniques in reducing the negative impact of software bugs to improve software reliability and security. Main topics include: fundamental concepts of software reliability and security, software bug detection and diagnosis, software bug tolerance and recovery, and text analytics.",NUM,LEC,N,No Consent Required,N,No Consent Required,
12053,1215,Spring 2021,GRD,ENG,ECE,ECE,6604PD,Distributed Generation,Distributed Generation,"The main objective of this course is to provide up-to-date knowledge about the technical and economical issues relating to the distribution generation.  In addition to an introduction to various generating technologies, a more detailed part will be included discussing various applications of power electronics.  The impacts of DG to the distribution system will be presented.  The focus will be on electrical issues such as grid connection, protection, control, and power quality.  In addition, the economical and regulatory issues will be addressed.  Recommended Background:  Basic understanding of modeling of power system elements and analysis techniques is required.  Familiarity with a programming language and/or a simulation package such as EMTDC/PSCAD and MATLAB is desirable.",NUM,LEC,N,No Consent Required,N,No Consent Required,ECE Electric Power Engineering Grad Students
12059,1215,Spring 2021,GRD,ENG,ECE,ECE,6610PD,Power Electronic Converters,Power Electronic Converters,"This course covers a wide range of topics in power electronics including: power semiconductor devices with emphasis on their operating characteristics, power converter topologies for ac-to-dc, dc-to-dc, dc-to-ac and ac-to-ac conversions, multi-converters and multi-level converters, control techniques in power converters, modeling of power converters, applications of power converters, converter design aspects (snubber circuits, gate/base-drive circuits, thermal management, series/parallel combinations of switches), and computer simulation of power electronic systems.  Recommended Background:  Basic understanding of circuit analysis and control theory is required.  Familiarity with electric machinery and power systems is desirable.",NUM,LEC,N,No Consent Required,N,No Consent Required,ECE Electric Power Engineering Grad Students
13345,1215,Spring 2021,GRD,ENG,ECE,ECE,6613PD,Power System Analysis,Power System Analysis,"Understand the basic definitions and concepts associated with power systems analysis.  Discuss in detail techniques and tools for power system analysis, with a practical perspecitve.  The course will cover short circuit power flow, stability concepts including voltage, oscillatory, transcient and frequency stability.",NUM,LEC,N,No Consent Required,N,No Consent Required,ECE Electric Power Engineering Grad Students
13346,1215,Spring 2021,GRD,ENG,ECE,ECE,6614PD,Industrial Utilization of Electrical Energy,Indust. Util of Elec. Energy,"Extensive electricity utilization represents one of the hallmarks of a modern society.  In this course, the basic cooncepts related to use of electric energy in various industrial applications and important issues related to such usage will be examined.  The course also discusses issues related to economics of energy system usage and the concept of load management.  The primary objective of the course is to provide students with the skills to understand the analytical methods and modern tools for solution of problems associated with utilization of electric energy in industrial sectors.",NUM,LEC,N,No Consent Required,N,No Consent Required,ECE Electric Power Engineering Grad Students
4807,1215,Spring 2021,UG,ENG,ECE,ECE,464,High Voltage Engineering and Power System Protection,HV Eng & Power Sys Protection,"The course provides the fundamentals concepts of generation and measurements of high voltage ac, dc, and impulses. Briefly introduces the students to basic conduction and breakdown mechanisms of insulating materials. The scope of this course also includes understanding the basic protection system, studying the principles for protecting different elements and studying different technologies used in designing protective relays. Exposure to several state-of-art high voltage testing techniques of power system components will ensure that students have knowledge of the industrial solutions to the management of the problems associated with overvoltage and the protection mechanisms used. [Offered: W]",NUM,LEC,N,No Consent Required,N,No Consent Required,"Prereq: One of ECE 260, 361, ME 269, MTE 320"
13438,1215,Spring 2021,UG,ENG,ECE,ECE,444,Integrated Analog Electronics,Integrated Analog Electronics,"Analog electronics exploits the physical behaviour of electronic devices to create electronic systems. The performance of single and multiple transistor amplifying stages are studied. Followed by a study of biasing, current mirror and output stages, which are then combined in the study of operational amplifier circuits. Frequency response and feedback are then reviewed leading to a detailed study of stability and compensation for multistage and operational amplifiers. The course finishes with a look at selected topics from A/D (analog-to-digital) converters, oscillators and phase-locked loops. [Offered: W]",NUM,LEC,N,No Consent Required,N,No Consent Required,Prereq: (ECE 242 or 340); Level at least 4A Computer Engineering or Electrical Engineering
771,1215,Spring 2021,GRD,ENG,ECE,ECE,613,Image Processing and Visual Communication,Image Procsng & Visl Commnictn,"This course covers the fundamental concepts and methods, as well as state-of-the-art theories and technologies in the field of image processing and visual communications. Topics include fundamental digital image and video processing methods; image analysis and understanding; statistical image modeling and perception; and robustness, scalability and security issues in visual communications.",NUM,LEC,N,No Consent Required,N,No Consent Required,Anitreq: ECE 710 - Topic 13
785,1215,Spring 2021,GRD,ENG,ECE,ECE,633,Nanoelectronics,Nanoelectronics,This course will cover the following topics; Basics of quantum mechanics; Quantum confinement; Boundary conditions; Schrodinger equation; Basic function; Density matrix; Energy bands; Subbands; Reciprocal lattice; Brillouin zone; Graphene and graphene nanoribbon; Transport in nanoelectronic devices.,NUM,LEC,N,No Consent Required,N,No Consent Required,Antireq: ECE 730 Topic 13
12050,1215,Spring 2021,GRD,ENG,ECE,ECE,6601PD,Power System Components and Modeling,Power Syst Comp & Modelling,"Discuss in detail the basic structure, functional characteristics and protection schemes of the main components that make up a powers system, in particular generators, transformers, transmission lines, cables, loads, HVDC and FACTS controllers.  Understand the modelling and simulation of these components for detailed electromagnetic transients analyses, as well as phasor models for power flow and stability studies.",NUM,LEC,N,No Consent Required,N,No Consent Required,ECE Electric Power Engineering Grad Students
789,1215,Spring 2021,GRD,ENG,ECE,ECE,637,Digital Integrated Circuits,Digital Integrated Circuits,"Design of CMOS digital integrated circuits at the transistor level. Related topics include MOSFET switch and 1-V models, logic gate design, transistor sizing, interconnect parasitics, gate delay, timing design, logical effort, static and dynamic  logic families, arithmetic structures, latch and flip-flop elements, memory cells and arrays, and input/output circuitry. Students enrolling in this course are expected to have a background equivalent to the material covered in ECE 242, formerly ECE 332.",NUM,LEC,N,No Consent Required,N,No Consent Required,
15300,1215,Spring 2021,UG,ENG,ECE,ECE,208,Discrete Mathematics and Logic 2,Discrete Math and Logic 2,"Formal logics, methods, and associated tools, and their uses in specifying, synthesizing, and verifying computing systems. Predicate logic. Temporal logic. Relational logic. Set theory. Proof theory. Model theory. Graph theory. Formal models of computation. Applications in computer and software engineering. [Offered: F, S]",NUM,LEC,N,Department Consent Required,D,Department Consent Required,"Prereq: ECE 108; Level at least 2B Computer Engineering or Electrical Engineering. Antireq: CS 245, SE 212"
